book_title,length
Enos,23.333333333333332
Ether,33.46666666666667
Jarom,43.07142857142857
Moroni,53.5
Mosiah,54.357142857142854
Omni,58.642857142857146
4 Nephi,60.4
3 Nephi,66.66666666666667
Alma,73.2
Mormon,77.5
Words of Mormon,80.85714285714286
Jacob,87.06666666666666
Helaman,92.53333333333333
1 Nephi,106.13333333333334
2 Nephi,229.86666666666667
